,UserID,Title,ISBN,Rating
3946,3,5 cm,9789797591519.0,4
3947,3,Mangaka's Love,,2
3948,3,Fall in Love Like a Comic,,2
3949,3,"Vanilla, Volume 02",9781569707555.0,4
3950,3,"Million Tears, Vol. 01",9781427800565.0,4
3951,3,"Million Tears, Vol. 02",9781427800572.0,4
3952,3,Kisah 25 Nabi dan Rasul,,3
3953,3,Kisah 25 Nabi dan Rasul,,3
3954,3,"Bronze - Zetsuai since 1989, Bd.4",9783551747846.0,5
3955,3,"Bronze - Zetsuai since 1989, Bd.3",9783551747839.0,5
3956,3,Bronze - Zetsuai since 1989 Bd. 12,9783551761323.0,5
3957,3,"Bronze - Zetsuai since 1989, Bd.5",9783551747853.0,5
3958,3,"Bronze - Zetsuai since 1989, Bd.6",9783551747860.0,5
3959,3,Bronze- Zetsuai since 1989 Bd. 10.,9783551747907.0,5
3960,3,"Zetsuai, Bd.1",9783551747761.0,5
3961,3,"Zetsuai, Bd.2",9783551747778.0,5
3962,3,Bronze- Zetsuai since 1989 Bd. 11.,9783551761316.0,5
3963,3,"Bronze - Zetsuai since 1989, Bd.9",9783551747891.0,5
3964,3,"Bronze - Zetsuai since 1989, Bd.8",9783551747884.0,5
3965,3,Bronze - Zetsuai since 1989 Bd. 13,9783551761330.0,5
3966,3,"Bronze - Zetsuai since 1989, Bd.7",9783551747877.0,5
3967,3,Sahabat Laut,,4
3968,3,"悪魔なエロス3 [Akuma na Eros, Vol. 03]",,3
3969,3,"悪魔なエロス2 [Akuma na Eros, Vol. 02]",9784091367549.0,3
3970,3,A Very Yuppy Wedding,,2
3971,3,Dua Pasang Mata,,4
3972,3,Walt Disney's Little Mermaid: The Sketchbooks Series,9781557093448.0,3
3973,3,"Imadoki!: Nowadays, Vol. 2",9781591164692.0,4
3974,3,"Imadoki!: Nowadays, Vol. 1",9781591163305.0,4
3975,3,"Imadoki!: Nowadays, Vol. 3",9781591165040.0,4
3976,3,"Miss Modern, Vol. 1",,5
3977,3,"Mars, Vol. 4",9781591820550.0,3
3978,3,"Love Mode, Vol. 9",9781598160185.0,3
3979,3,"Love Pistols, Volume 3",9781598167849.0,3
3980,3,Kambing Jantan: Sebuah Catatan Harian Pelajar Bodoh,9789793600697.0,2
3981,3,"Bleach, Volume 10",9781421500812.0,3
3982,3,The Princess Diaries,9780613371650.0,4
3983,3,Rainbow Vol. 1,9789792710335.0,5
3984,3,Babysitter Gin,,4
3985,3,DJ & JD,9789792232318.0,3
3986,3,Hanamaru's Kitchen,,5
3987,3,"Spiral: The Bonds of Reasoning, Vol. 02",9780759524071.0,4
3988,3,"D.N.Angel, Vol. 3",9781591828013.0,4
3989,3,"Hai, Miiko! 1",9789792308242.0,3
3990,3,"Hai, Miiko! 2",9789792308259.0,3
3991,3,"Hai, Miiko! 3",9789792308266.0,3
3992,3,"Hai, Miiko! 4",9789792308273.0,3
3993,3,"Hai, Miiko! 5",9789792308280.0,3
3994,3,"Hai, Miiko! 6",,3
3995,3,"Hai, Miiko! 7",9789792308303.0,3
3996,3,"Hai, Miiko! 8",9789792308310.0,3
3997,3,Pastel Mood,,3
3998,3,Baby & I 1,,4
3999,3,"Bleach, Volume 04",9781591164449.0,3
4000,3,"Bleach, Volume 07",9781591168072.0,3
4001,3,Angin Musim Gugur,,3
4002,3,Polaris,,4
4003,3,Album Kenangan,,3
4004,3,"Morning, Day & Night",,3
4005,3,"Mink, Vol. 3",9781591827177.0,2
4006,3,Missile Happy! Vol. 1,9781598169324.0,3
4007,3,"Growing Up Nuts, vol. 4",,2
4008,3,"Baby Love, Vol. 1",,4
4009,3,Merry Go Round Vol. 1,,3
4010,3,Oh! My Darling Vol. 1,,4
4011,3,Golden Book,,4
4012,3,HARMONI (Deluxe),9789792795523.0,3
4013,3,Hai Miiko! 17,9789792312294.0,3
4014,3,Hai Miiko! 18,9789792312300.0,3
4015,3,"Salad Days, Vol. 2",,4
4016,3,"Salad Days, Vol. 1",,4
4017,3,Salad Days 3,,4
4018,3,Salad Days 4,,4
4019,3,Salad Days 5,,4
4020,3,Salad Days 6,,4
4021,3,Salad Days 7,,4
4022,3,Salad Days 8,,4
4023,3,Salad Days 9,,4
4024,3,Salad Days 10,,4
4025,3,Salad Days 11,,4
4026,3,Salad Days 12,,4
4027,3,Salad Days 13,,4
4028,3,Salad Days 14,,4
4029,3,Salad Days 15,,4
4030,3,Salad Days 16,,4
4031,3,Salad Days 17,,4
4032,3,Salad Days 18,,4
4033,3,Kare-Made Love Km,,3
4034,3,Detektif Kindaichi Vol. 17,9789792019483.0,3
4035,3,"Special A, Vol. 1",,3
4036,3,Seven Colors Girl,,3
4037,3,Let's Ask Dr. Lin Vol. 1,,4
4038,3,Penguin Prince,9789792310276.0,3
4039,3,Second Kiss,,4
4040,3,Fifteen,,3
4041,3,Buku Pintar Seri Junior,,3
4042,3,"Totally Captivated, Volume 1",9781600092930.0,5
4043,3,"Special A, Vol. 3",,4
4044,3,"Special A, Vol. 4",,4
4045,3,A Million Tears,,3
4046,3,Say Yes!,,4
4047,3,Summer Love Story,,3
4048,3,Kiss Me With Mint,9789792315868.0,3
4049,3,Triangle Kiss,,3
4050,3,Crazy 24 Hours,,2
4051,3,Graduation Scramble,,4
4052,3,Daisy Magic,,3
4053,3,Delicious Study,,3
4054,3,Epotoransu! Mai Vol. 1,,3
4055,3,Help!,,2
4056,3,Ikenai Navigation 1,,2
4057,3,She's Kid,,2
4058,3,Kimi to Scandal,9789792309218.0,3
4059,3,Suki-Suki Darling,,3
4060,3,Strawberry Cake,,3
4061,3,Blue-Sky Scramble,,4
4062,3,Scramble B,,4
4063,3,"Chobits, Vol. 1",9781931514927.0,3
4064,3,Mr. Friday,,4
4065,3,"Kiss Blue, Vol. I",9781569707166.0,4
4066,3,"X/1999, Volume 08: Crescendo",9781591161226.0,4
4067,3,"Marmalade Boy, Vol. 4",9781931514576.0,3
4068,3,"Tea for Two, Vol. 1",9781427809575.0,2
4069,3,Menggapai Kasih-Mu,9789793035536.0,2
4070,3,"Ouran High School Host Club, Vol. 1",9781591169154.0,4
4071,3,Princess: A True Story of Life Behind the Veil in Saudi Arabia,9780967673745.0,3
4072,3,Yurara's Moon Vol. 4,9789792308716.0,2
4073,3,Pink Prisoner,,3
4074,3,Kalbu,9789793391489.0,3
4075,3,Titian Pelangi,,4
4076,3,"W Juliet, Vol. 1",9781591165989.0,4
4077,3,"W Juliet, Vol. 2",9781591166023.0,4
4078,3,"Hunter x Hunter, Vol. 7: Nen Combatant",,3
4079,3,"Nodame Cantabile, Vol. 13",9780345499141.0,5
4080,3,"Nodame Cantabile, Vol. 14",9780345503312.0,4
4081,3,Cahaya di atas Cahaya: Kumpulan Cerpen Terbaik,,3
4082,3,Derabat: Cerpen Pilihan KOMPAS 1999,9789799251046.0,3
4083,3,Sang Putri Dan Si Miskin,,3
4084,3,I Love My Boss,,2
4085,3,"Hunter x Hunter, Vol. 19",9781421517865.0,3
4086,3,"Fruits Basket, Vol. 7",9781595324023.0,4
4087,3,"Fruits Basket, Vol. 3",9781591826057.0,4
4088,3,"Mars, Volume 11",9781591821304.0,3
4089,3,"Mars, Vol. 6",9781591820574.0,4
4090,3,"Mars, Volume 12",9781591821311.0,3
4091,3,"Mars, Vol. 8",9781591820871.0,4
4092,3,Cinta Tak Pernah Menari,9789792204667.0,3
4093,3,Ketika Cinta Bertasbih: Episode 2,,4
4094,3,Production and Operations Management,9780256225563.0,3
4095,3,Detektif Conan Vol. 49,9789792717105.0,3
