,Title,Author,Year,Rating,Raters,Genres
863,The Man in the High Castle (Paperback),Philip K. Dick,1962,3.61,195630,"Science Fiction,Fiction,Classics,Science Fiction,Science Fiction,Historical,Fantasy,Science Fiction Fantasy,Novels,Speculative Fiction"
864,The Keeper of Lost Things (ebook),Ruth Hogan,2017,3.81,129982,"Fiction,Contemporary,Fantasy,Romance,Audiobook,Magical Realism,Adult,Book Club,Adult Fiction,Womens Fiction"
865,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,2014,4.45,279003,"Science Fiction,Young Adult,Fantasy,Romance,Science Fiction,Fiction,Fantasy,New Adult,Young Adult,Audiobook"
866,Think Again: The Power of Knowing What You Don't Know (Hardcover),Adam M. Grant,2021,4.24,65012,"Nonfiction,Psychology,Self Help,Business,Audiobook,Self Help,Leadership,Science,Philosophy,Education"
867,The Girls (Hardcover),Emma Cline,2016,3.49,191903,"Fiction,Historical,Contemporary,Audiobook,Adult,Historical,Literary Fiction,Young Adult,Adult Fiction,Thriller"
868,"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,2022,4.03,176243,"Romance,Contemporary,Romance,Fiction,Adult,Audiobook,Womens Fiction,New Adult,Adult Fiction"
869,This is Going to Hurt: Secret Diaries of a Junior Doctor (Kindle Edition),Adam Kay,2017,4.41,237566,"Nonfiction,Autobiography,Health,Biography,Medical,Audiobook,Humor,Science,Biography,Biography Memoir"
870,How to Stop Worrying and Start Living (Paperback),Dale Carnegie,1944,4.15,97659,"Self Help,Nonfiction,Psychology,Self Help,Business,Philosophy,Audiobook,Leadership,Inspirational,Health"
871,Final Girls (Hardcover),Riley Sager,2017,3.84,137864,"Thriller,Mystery,Horror,Fiction,Thriller,Adult,Audiobook,Suspense,Mystery,Contemporary"
872,Convenience Store Woman (Paperback),Sayaka Murata,2016,3.71,182986,"Fiction,Contemporary,Cultural,Asian Literature,Literary Fiction,Audiobook,Adult,Cultural,Adult Fiction,Literature"
873,"Fall of Giants (The Century Trilogy, #1)",Ken Follett,2010,4.3,303779,"Historical,Fiction,Historical,War,Audiobook,Novels,Adult,War,Cultural,Epic"
874,The Good Girl (Hardcover),Mary Kubica,2014,3.82,222656,"Mystery,Fiction,Thriller,Thriller,Suspense,Audiobook,Mystery,Adult,Contemporary,Thriller"
875,The Art of Happiness (Hardcover),Dalai Lama XIV,1998,4.16,109380,"Nonfiction,Philosophy,Spirituality,Self Help,Religion,Psychology,Religion,Self Help,Inspirational,Biography"
876,The Water Dancer (Hardcover),Ta-Nehisi Coates,2019,4.07,100123,"Fiction,Historical,Fantasy,Magical Realism,Audiobook,Historical,Race,Adult,Cultural,Novels"
877,The Kitchen House (Paperback),Kathleen Grissom,2010,4.2,255735,"Historical,Fiction,Historical,Book Club,Audiobook,Adult,Adult Fiction,American,Novels,Cultural"
878,Luckiest Girl Alive (Hardcover),Jessica Knoll,2015,3.53,188849,"Fiction,Mystery,Thriller,Thriller,Audiobook,Contemporary,Adult,Suspense,Adult Fiction,Womens Fiction"
879,Home Before Dark (Hardcover),Riley Sager,2020,4.09,134053,"Horror,Thriller,Mystery,Thriller,Fiction,Audiobook,Adult,Fantasy,Suspense,Paranormal"
880,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,2006,4.24,985170,"Fantasy,Young Adult,Fantasy,Fiction,Childrens,Adventure,Mythology,Childrens,Fantasy,Audiobook"
881,Wrong Place Wrong Time (Hardcover),Gillian McAllister,2022,4.12,61655,"Thriller,Mystery,Fiction,Thriller,Audiobook,Science Fiction,Suspense,Science Fiction,Mystery,Adult"
884,The Very Hungry Caterpillar (Board book),Eric Carle,1969,4.31,467470,"Childrens,Childrens,Fiction,Classics,Animals,Food and Drink,Number,Childrens,Kids,Science"
885,The Book of Lost Names (Hardcover),Kristin Harmel,2020,4.4,127986,"Historical,Fiction,War,Historical,Audiobook,Romance,War,World War II,Adult,Writing"
886,"Fable (Fable, #1)",Adrienne Young,2020,4.07,66148,"Fantasy,Young Adult,Romance,Adventure,Young Adult,Fiction,Adventure,Audiobook,Fantasy,Romance"
887,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,2010,3.94,332804,"Young Adult,Fantasy,Science Fiction,Fiction,Science Fiction,Romance,Fantasy,Adventure,Young Adult,Action"
888,In the Dream House (Hardcover),Carmen Maria Machado,2019,4.47,80985,"Nonfiction,Autobiography,LGBT,LGBT,Audiobook,Biography,Feminism,Adult,Horror,Biography Memoir"
889,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers (Hardcover),Ben Horowitz,2014,4.23,80891,"Business,Nonfiction,Business,Business,Leadership,Self Help,Buisness,Biography,Self Help,Science"
890,The Woman in White (Paperback),Wilkie Collins,1859,4.0,145661,"Classics,Mystery,Fiction,Gothic,Horror,Literature,Historical,Historical,Literature,Thriller"
891,The Audacity of Hope: Thoughts on Reclaiming the American Dream (Hardcover),Barack Obama,2006,3.81,159235,"Nonfiction,Politics,Biography,Autobiography,Audiobook,Biography,History,Biography Memoir,Politics,Philosophy"
892,"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,2016,4.07,155889,"Thriller,Horror,Mystery,Fiction,Thriller,Mystery,Suspense,Adult,Dark,Audiobook"
893,"King's Cage (Red Queen, #3)",Victoria Aveyard,2017,3.94,204515,"Fantasy,Young Adult,Science Fiction,Romance,Fiction,Young Adult,Audiobook,Science Fiction,Fantasy,Fantasy"
894,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,2009,3.89,195136,"Historical,Fiction,Historical,European Literature,Audiobook,Literary Fiction,Novels,Literature,Unfinished,English History"
895,"Neon Gods (Dark Olympus, #1)",Katee Robert,2021,3.74,125665,"Romance,Fantasy,Fantasy,Retellings,Adult,Fiction,Mythology,Romance,Audiobook,Contemporary"
896,How to Be an Antiracist (Hardcover),Ibram X. Kendi,2019,4.38,105082,"Nonfiction,Race,Social Movements,Race,Politics,Audiobook,History,Autobiography,Sociology,Cultural"
897,Uncle Tom's Cabin (Paperback),Harriet Beecher Stowe,1852,3.9,215665,"Classics,Fiction,Historical,Literature,Historical,Literature,Novels,Classics,Literature,Academic"
898,Better Than the Movies (Hardcover),Lynn Painter,2021,4.27,73070,"Romance,Young Adult,Contemporary,Fiction,Romance,Young Adult,Audiobook,Young Adult,Young Adult,Womens Fiction"
899,Number the Stars (Mass Market Paperback),Lois Lowry,1989,4.17,522095,"Historical,Young Adult,Fiction,Classics,Childrens,Historical,Childrens,World War II,Academic,War"
900,"Adulthood Is a Myth (Sarah's Scribbles, #1)",Sarah Andersen,2016,4.12,120837,"Sequential Art,Sequential Art,Humor,Nonfiction,Graphic Novels Comics,Adult,Humor,Contemporary,Comics,Art"
901,A Midsummer Night's Dream (Paperback),William Shakespeare,1595,3.95,502872,"Classics,Plays,Fiction,Fantasy,Drama,Academic,Romance,Plays,Poetry,Literature"
902,The Last Mrs. Parrish (Paperback),Liv Constantine,2017,3.97,241181,"Thriller,Fiction,Mystery,Thriller,Audiobook,Suspense,Thriller,Adult,Contemporary,Adult Fiction"
903,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI (ebook),David Grann,2017,4.1,181595,"Nonfiction,History,Crime,Mystery,Audiobook,Mystery,Historical,North American Hi...,Book Club,Adult"
904,"Every Day (Every Day, #1)",David Levithan,2012,3.91,222294,"Young Adult,Romance,Fantasy,Fiction,Contemporary,LGBT,Fantasy,Magical Realism,Young Adult,Science Fiction"
905,"Poison Study (Study, #1)",Maria V. Snyder,2005,4.1,158894,"Fantasy,Young Adult,Romance,Fantasy,Fiction,Young Adult,Fantasy,Fantasy,Adventure,Romance"
906,"Twisted Love (Twisted, #1)",Ana Huang,2021,3.77,203195,"Romance,Contemporary,Romance,New Adult,Adult,Dark,Fiction,Academic,Love,Audiobook"
